text,query,timestamp,createdAt
Gladson Cameli prestigia troca de comando do Corpo de Bombeiros em Cruzeiro do Sul https://t.co/XLXql9YscL,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Fri Jul 30 2021 17:04:47 GMT-0300 (Brasilia Standard Time)
"A primeira-dama do Acre, Ana Paula Cameli, assinou o memorando de entendimento com o @unicefbrasil que firma a cola… https://t.co/EhI8lvenId",cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Fri Jul 30 2021 12:23:03 GMT-0300 (Brasilia Standard Time)
RT @kokz_v: brasil país do skate https://t.co/x63zylgomc,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Fri Jul 30 2021 12:04:48 GMT-0300 (Brasilia Standard Time)
"Governador Gladson Cameli participou de cerimônia de inauguração da sede do Tribunal Regional Eleitoral do Acre, ne… https://t.co/CPg1F398P3",cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Thu Jul 29 2021 19:39:02 GMT-0300 (Brasilia Standard Time)
RT @RandonadmM: atleta brasileiro ganha medalha na olimpíadas recebendo um caldo de cana e um pastel de investimento,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Thu Jul 29 2021 10:58:41 GMT-0300 (Brasilia Standard Time)
Eu só queria ter alguma coisa pra fazer,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Thu Jul 29 2021 10:55:31 GMT-0300 (Brasilia Standard Time)
Tá voltando o tédio de férias,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Thu Jul 29 2021 10:55:16 GMT-0300 (Brasilia Standard Time)
"UNICEF destaca para o mundo consolidação de parceria assinada por Ana Paula Cameli, via Selo https://t.co/akqak6Ms0j",cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Thu Jul 29 2021 09:57:56 GMT-0300 (Brasilia Standard Time)
"Governado pelo bolsonarista Gladson Cameli, Acre volta a ter, com 70%, maior aumento na média móvel de mortes no Br… https://t.co/hRPRmm9qUg",cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Wed Jul 28 2021 22:56:00 GMT-0300 (Brasilia Standard Time)
Gladson Cameli reafirma parcerias do Estado com prefeituras de Porto Acre e Senador Guiomard https://t.co/tqPaRQP8oK,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Wed Jul 28 2021 18:11:15 GMT-0300 (Brasilia Standard Time)
"O governador recebeu os prefeitos e reforçou a união de esforços pelos municípios,  principalmente nas ações de inf… https://t.co/rJXJ9d6rXN",cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Wed Jul 28 2021 17:55:57 GMT-0300 (Brasilia Standard Time)
@dylngrf CAMELI SUPERIOE,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Wed Jul 28 2021 16:33:38 GMT-0300 (Brasilia Standard Time)
@dylngrf nadie pq cameli es real 💞💞💞,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Wed Jul 28 2021 16:25:29 GMT-0300 (Brasilia Standard Time)
"Em 2022, no Acre, uma terceira via será muito necessária diante da péssima qualidade dos dois candidatos que polari… https://t.co/cORmSeJCyI",cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Wed Jul 28 2021 14:43:17 GMT-0300 (Brasilia Standard Time)
A Defensoria Pública do Estado do Acre apoia a campanha Doe Agasalhos realizada pela SEASDHM e Gabinete da primeira… https://t.co/jVN6WdadYb,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Wed Jul 28 2021 14:41:01 GMT-0300 (Brasilia Standard Time)
Cadê o crl do frio ???,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Wed Jul 28 2021 12:25:36 GMT-0300 (Brasilia Standard Time)
Gladson Cameli recebe presidente do BNDES no Juruá https://t.co/exB8mmUu3M,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Jul 27 2021 18:46:39 GMT-0300 (Brasilia Standard Time)
VÍDEO Governador Gladson Cameli faz elogios a atual gestão do BNDES: “O Acre precisa de vocês” https://t.co/0jwlb21FG6,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Jul 27 2021 18:01:20 GMT-0300 (Brasilia Standard Time)
RT @camauricios: governador gladson cameli compre um frio imediatamente,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Jul 27 2021 17:56:39 GMT-0300 (Brasilia Standard Time)
"Em vídeo que viralizou na internet, Gladson Cameli fala com quem não apita nada na Saúde e foi exonerado pelo própr… https://t.co/kYrR16l7Vr",cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Jul 27 2021 17:29:05 GMT-0300 (Brasilia Standard Time)
RT @camauricios: governador gladson cameli compre um frio imediatamente,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Jul 27 2021 15:00:11 GMT-0300 (Brasilia Standard Time)
RT @camauricios: governador gladson cameli compre um frio imediatamente,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Jul 27 2021 14:54:08 GMT-0300 (Brasilia Standard Time)
governador gladson cameli compre um frio imediatamente,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Jul 27 2021 14:46:26 GMT-0300 (Brasilia Standard Time)
Gladson Cameli recebe presidente do BNDES no Juruá https://t.co/6Nw9jJI3as,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Jul 27 2021 10:43:30 GMT-0300 (Brasilia Standard Time)
RT @legadaodamassa: EU NUNCA MAIS VOU COMER COMIDA JAPONESA NA MINHA VIDA,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Jul 27 2021 00:33:05 GMT-0300 (Brasilia Standard Time)
A apropriação cultural mais feia que esse país tem https://t.co/iAVkexxmN0,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Tue Jul 27 2021 00:17:16 GMT-0300 (Brasilia Standard Time)
"RT @deolhonoagro: Bolsonarista Gladson Cameli é o autor do PL 225/2020, que atinge o Complexo do Rio Gregório, em Tarauacá (AC), onde @rati…",cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Mon Jul 26 2021 23:49:11 GMT-0300 (Brasilia Standard Time)
Gladson Cameli recebe presidente do BNDES no Juruá https://t.co/nVORdgxMsU,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Mon Jul 26 2021 21:02:20 GMT-0300 (Brasilia Standard Time)
Gladson Cameli recebe presidente do BNDES no Juruá https://t.co/xZ9CeL2W0I https://t.co/G0aUv61b32,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Mon Jul 26 2021 19:17:11 GMT-0300 (Brasilia Standard Time)
"O governador Gladson Cameli convidou o presidente do Banco Nacional de Desenvolvimento Econômico e Social (BNDES),… https://t.co/N5wQYyzu1W",cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Mon Jul 26 2021 17:55:55 GMT-0300 (Brasilia Standard Time)
@94sdfyou CAMELI MOS MAMIS,cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Mon Jul 26 2021 15:08:15 GMT-0300 (Brasilia Standard Time)
"Em Plácido de Castro, Gladson Cameli visita obras de ramais e entrega equipamentos para zona rural.

https://t.co/2UCnpzVOeS",cameli,Tue Aug 03 2021 17:02:06 GMT-0300 (Brasilia Standard Time),Mon Jul 26 2021 13:46:43 GMT-0300 (Brasilia Standard Time)
Polícia Federal da investida nós Estados de Alagoas e Manaus e encontra desvio de verbas do combate a PANDEMIA atin… https://t.co/ZCZZIhhTzV,"""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 14:27:34 GMT-0300 (Brasilia Standard Time)
@SigaGazetaBR Tem que mandar quebrar o sigilo bancário do Renan filho. que é ladrão igual o pai. https://t.co/NDoT8VjFWz,"""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 13:57:19 GMT-0300 (Brasilia Standard Time)
@jademabreu @HeberGomesNogu1 @opropriopatria @CarlaZambelli38 BOMBA: Renan Filho pagou R$39 milhões em gratificaçõe… https://t.co/w4YbYotGoE,"""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 13:56:41 GMT-0300 (Brasilia Standard Time)
"RT @Ajveiga2: Eu gostaria de saber o que o #RenanVagabundo tem a falar sobre isso!

Segundo o IBGE, 570 mil alagoanos vivem em situação de…","""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 10:05:49 GMT-0300 (Brasilia Standard Time)
"RT @Toni6215: @o_antagonista Governadores?
Prefeitos?
Carlos Gabas?
Renan Filho?
Barbalho?
Doria?","""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 07:58:38 GMT-0300 (Brasilia Standard Time)
@CBNoficial Quando é que vão ouvir o Carlos Gabas e o Renan Filho?????????,"""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 06:56:08 GMT-0300 (Brasilia Standard Time)
PORQUE QUE VOLTOU O BRUNO RENAN FILHO DA PUTA,"""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 02:09:55 GMT-0300 (Brasilia Standard Time)
vai renan filho da puta coloca o douglas ae,"""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 01:39:35 GMT-0300 (Brasilia Standard Time)
Decisão acertada de não ver esse jogo se o Souza tivesse de titular. Foda-se ele e o Renan filho da puta https://t.co/id1wQ4cJMj,"""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Tue Aug 03 2021 01:26:33 GMT-0300 (Brasilia Standard Time)
@o_antagonista Vão chamar Renan filho?…,"""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 23:36:16 GMT-0300 (Brasilia Standard Time)
"RT @Toni6215: @o_antagonista Governadores?
Prefeitos?
Carlos Gabas?
Renan Filho?
Barbalho?
Doria?","""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 23:33:46 GMT-0300 (Brasilia Standard Time)
"@HeberGomesNogu1 @BohnGass BOMBA: Renan Filho pagou R$39 milhões em gratificações fantasmas via SUS, diz MPF https://t.co/FC1qjEBUyk","""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 22:51:19 GMT-0300 (Brasilia Standard Time)
"RT @Toni6215: @o_antagonista Governadores?
Prefeitos?
Carlos Gabas?
Renan Filho?
Barbalho?
Doria?","""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 20:32:48 GMT-0300 (Brasilia Standard Time)
"RT @Toni6215: @o_antagonista Governadores?
Prefeitos?
Carlos Gabas?
Renan Filho?
Barbalho?
Doria?","""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 20:29:26 GMT-0300 (Brasilia Standard Time)
"RT @Toni6215: @o_antagonista Governadores?
Prefeitos?
Carlos Gabas?
Renan Filho?
Barbalho?
Doria?","""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 20:26:19 GMT-0300 (Brasilia Standard Time)
"@JanainaDoBrasil Sempre será Renan Ladrão, Renan traficante, Renan palhaço 🤡, Renan boiola, Renan goiaba, Renan seg… https://t.co/NYCtccTA3h","""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 19:32:48 GMT-0300 (Brasilia Standard Time)
"Os Bolsonaristas de Alagoas gostam de criticar o Governador Renan Filho por ser de família de políticos, aí você le… https://t.co/LqTExmrDE2","""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 19:19:00 GMT-0300 (Brasilia Standard Time)
"RT @ricardoborgesma: Empresa de Jair Renan, filho do presidente, é investigada pela Polícia Federal sob a suspeita de tráfico de influência…","""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 16:32:02 GMT-0300 (Brasilia Standard Time)
RT @ricardoborgesma: Filho 04 do presidente é próximo de empresários que se reuniram com o ministro do Desenvolvimento e teria ganhado carr…,"""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 16:31:19 GMT-0300 (Brasilia Standard Time)
"RT @Toni6215: @o_antagonista Governadores?
Prefeitos?
Carlos Gabas?
Renan Filho?
Barbalho?
Doria?","""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 15:27:03 GMT-0300 (Brasilia Standard Time)
"@RenanFilho_  assina nova pactuação do Programa Escola 10

https://t.co/fHEolWTJez","""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 15:11:47 GMT-0300 (Brasilia Standard Time)
"RT @Toni6215: @o_antagonista Governadores?
Prefeitos?
Carlos Gabas?
Renan Filho?
Barbalho?
Doria?","""renan filho""",Tue Aug 03 2021 17:02:07 GMT-0300 (Brasilia Standard Time),Mon Aug 02 2021 15:01:09 GMT-0300 (Brasilia Standard Time)
